Emotion,AffectNet_F1,FERPlus_F1,F1_Drop
anger,0.4338,0.17067833698030635,0.26312166301969364
contempt,0.5666,0.03636363636363636,0.5302363636363636
disgust,0.4055,0.0,0.4055
fear,0.458,0.05157894736842105,0.40642105263157896
happy,0.8533,0.0,0.8533
neutral,0.769,0.0,0.769
sad,0.5313,0.2576112412177986,0.2736887587822014
surprise,0.3958,0.022857142857142857,0.37294285714285713
